Player,Original_Position,AI_Top_Positions,Adaptability_Score
Caio Tafarell,CDM,"CDM, CB, CM, LB, CAM",1
D. Adorni,CB,"CB, CDM, RB, LB, CAM",1
P. Filipović,CB,"CB, RB, LB, CDM, CAM",1
F. Mladenović,LB,"LB, RB, CDM, LM, CM",1
Unai García,CB,"CB, RB, CDM, CF, CM",1
D. Ward,ST,"ST, LM, RM, CAM, RW",1
J. Greguš,CM,"CM, LB, CDM, RB, CB",1
M. Michel,GK,"GK, CB, CAM, CDM, CF",1
I. Zlobin,GK,"GK, CB, CAM, CDM, CF",1
O. Ruisalvo,LM,"LM, ST, CAM, RM, RW",1
A. Feick,LB,"LB, RB, CDM, LM, CM",1
M. Murillo,ST,"ST, LM, RM, LW, CAM",1
M. Olsson,LB,"LB, RB, LM, CDM, CF",1
J. Buijs,CB,"CB, LB, RB, CDM, CM",1
D. Graham,ST,"ST, CM, LM, LW, RM",1
Nano,ST,"ST, RM, CAM, CF, CM",1
C. Labrín,CB,"CB, CAM, CDM, CF, CM",1
P. McEleney,CAM,"CM, LM, RM, ST, CAM",0
A. Zreľák,ST,"ST, CB, CAM, CF, CM",1
L. Ridgewell,CB,"CB, CDM, CM, LB, CAM",1
T. Nara,CB,"CB, RB, CM, LB, CDM",1
P. Celeban,CB,"CB, RB, CM, LB, CDM",1
Pinillos,LB,"LB, RB, CM, CDM, LWB",0
N. Bodurov,CB,"CB, LB, RB, CDM, CM",0
Magno,ST,"ST, RM, LM, CM, CAM",1
E. Hussain,CM,"CM, CDM, CAM, LB, RB",1
A. Isak,ST,"ST, RM, LM, LW, CF",1
Villalibre,ST,"ST, CB, CAM, CF, CM",1
J. Chunga,GK,"GK, CB, CAM, CDM, CF",1
P. Velthuizen,GK,"GK, CB, CAM, CDM, CF",1
Eltson Marques,CB,"CB, CAM, CDM, CF, CM",1
Nuno André Coelho,CB,"CB, CDM, CM, LB, RB",1
S. Magnasco,RB,"RB, LB, CDM, CM, CB",1
Yang Han Been,GK,"GK, CB, CAM, CDM, CF",1
Carlos Martínez,RB,"RB, CB, LB, CDM, CM",1
O. Oularé,ST,"ST, CB, CAM, CF, CM",1
D. Böde,ST,"ST, LM, CAM, LW, RM",1
C. Mepham,CB,"CB, CDM, LB, CAM, CF",1
N. Champagne,GK,"GK, CB, CAM, CDM, CF",1
D. Kownacki,ST,"ST, LM, RM, RW, CAM",1
L. Galeano,CB,"CB, CDM, CAM, CF, CM",1
D. Ndlovu,ST,"ST, RM, RW, CF, CAM",1
Flávio,CB,"CB, CAM, CDM, CF, CM",1
D. Post,CDM,"CDM, CB, CM, RB, CAM",1
N. Pérez,CB,"CB, LB, CAM, CDM, CF",1
Milton Menceiros,CB,"CB, CM, CDM, LB, RB",1
A. Søderlund,ST,"ST, RB, LB, CDM, CF",1
A. Benedetti,LB,"LB, RB, CDM, CM, CB",0
R. Torres,CB,"CB, CDM, CAM, CF, CM",1
G. Scognamiglio,CB,"CB, CDM, RB, CM, LB",1
P. Kanstrup,CB,"CB, CDM, LB, CAM, CF",1
J. Insaurralde,CB,"CB, CAM, CDM, CF, CM",1
Ivanildo Fernandes,CB,"CB, CAM, CDM, CF, CM",1
T. Figueroa,ST,"ST, CAM, CB, CF, CM",1
V. Lampropoulos,CB,"CB, LB, RB, CDM, CF",1
C. Walton,GK,"GK, CB, CAM, CDM, CF",1
S. Bain,GK,"GK, CB, CAM, CDM, CF",1
Manu Barreiro,ST,"ST, LW, CAM, CF, CM",1
J. Joronen,GK,"GK, CB, CAM, CDM, CF",1
D. Batth,CB,"CB, CAM, CDM, CF, CM",1
J. Komar,CB,"CB, CAM, CDM, CF, CM",1
F. Ballas,CB,"CB, CDM, CAM, CF, CM",1
M. Saymak,CAM,"CAM, CM, LM, ST, RM",1
Ademilson,ST,"ST, LM, CAM, CF, CM",1
C. Zimmermann,CB,"CB, CAM, CDM, CF, CM",1
D. Beasley,LB,"LB, RB, CM, LM, CDM",0
T. Malacia,LB,"RB, LB, CDM, LM, RWB",1
Artur Jorge,CB,"CB, CAM, CDM, CF, CM",1
G. Magnani,CB,"CB, CAM, CDM, CF, CM",1
A. Micai,GK,"GK, CB, CAM, CDM, CF",1
P. Alvarado,CB,"CB, RB, LB, CM, CDM",1
L. Acosta,GK,"GK, CB, CAM, CDM, CF",1
P. Bauer,CB,"CB, CAM, CDM, CF, CM",1
A. Cissokho,LB,"LB, RB, CB, CM, CDM",1
Júlio César,CB,"CB, CAM, CDM, CF, CM",1
C. Wondolowski,ST,"ST, CM, CAM, LW, CB",1
M. Ingvartsen,ST,"ST, CB, CAM, CF, CM",1
M. Caballero,ST,"ST, LM, RM, LW, CAM",1
Kalindi,RB,"RB, LB, CB, CDM, CF",1
E. Tercero,CB,"CB, RB, LB, CM, CDM",1
Flávio Rebeilo,LB,"LB, RB, CDM, LWB, CF",1
N. Stojiljković,ST,"ST, CB, CAM, CF, CM",1
Jeong Seung Hyun,CB,"CB, CAM, CDM, CF, CM",1
D. Petrić,GK,"GK, CB, CAM, CDM, CF",1
Platiny,ST,"ST, RM, CAM, CF, CM",1
O. Linnér,GK,"GK, CB, CAM, CDM, CF",1
P. Iemmello,ST,"ST, CB, CAM, CF, CM",1
A. Niane,ST,"ST, CF, CB, CDM, CM",1
M. Terrazzino,LM,"LM, CAM, CM, RM, RW",1
Kim Jong Woo,CM,"CM, CAM, LM, LW, RB",1
M. Silva,CB,"CB, CAM, CDM, CF, CM",1
Lisandro Semedo,RW,"RW, ST, LM, RM, CAM",1
F. Meza,CB,"CB, LB, RB, CM, CDM",1
Li Xuepeng,LB,"LB, RB, CDM, CM, CB",1
B. Vidal,CB,"CB, CDM, CM, LB, RB",1
S. Romagnoli,CB,"CB, CAM, CDM, CF, CM",1
Borja Fernández,CDM,"CB, CDM, CM, RB, CAM",0
U. Bozok,ST,"ST, LW, CAM, CF, CM",1
K. Árnason,CB,"CB, CDM, CM, LB, CAM",1
L. Mazzoni,GK,"GK, CB, CAM, CDM, CF",1
Z. Gano,ST,"ST, CB, CAM, CF, CM",1
L. Abram,CB,"CB, LB, RB, CDM, CF",1
L. Pico,CDM,"CDM, CM, RB, LB, CB",1
K. Sigþórsson,ST,"ST, CM, CAM, CDM, CF",1
Helton Leite,GK,"GK, CB, CAM, CDM, CF",1
P. Schuurs,CB,"CB, CM, RB, CDM, LB",1
E. Loeschbor,CB,"CB, CM, CAM, CDM, CF",1
D. Croce,CM,"CM, LB, RB, LM, RM",0
N. Wells,ST,"ST, RM, CAM, LM, RB",1
L. Jans,RB,"LB, RB, CM, CDM, RWB",0
M. Aarons,RB,"RB, LB, CDM, LM, CF",1
R. Del Castillo,RM,"RM, LM, CAM, CM, CF",1
C. Valenzuela,CAM,"CAM, RM, LM, RW, LW",1
Joãozinho,LB,"LB, RB, CDM, CB, CM",0
E. Kwateng,RB,"RB, LB, CDM, CB, CM",1
J. de Wijs,CB,"CB, CDM, CAM, CF, CM",1
M. Camporese,CB,"CB, CAM, CDM, CF, CM",1
André Moreira,GK,"GK, CB, CAM, CDM, CF",1
P. Sandler,CB,"CB, CDM, RB, CM, LB",1
S. Posch,CB,"CB, CAM, CDM, CF, CM",1
J. Minala,CM,"CM, CDM, RB, LB, CB",1
Jeong Jae Yong,CDM,"CDM, CM, CB, LB, RB",1
E. Korkmaz,CB,"CB, CDM, CAM, CF, CM",1
D. Moor,CB,"CB, CDM, CM, LB, RB",1
M. Tahrat,CB,"CB, CAM, CDM, CF, CM",1
A. Tuia,CB,"CB, RB, CAM, CF, CM",1
J. Troisi,CAM,"CAM, RM, ST, LW, LM",1
Álvaro Tejero,RB,"RB, LB, CM, CDM, CB",1
A. Budimir,ST,"ST, LM, CAM, CF, CM",1
C. Acevedo,GK,"GK, CB, CAM, CDM, CF",1
K. Kasongo,ST,"ST, CB, CAM, CF, CM",1
A. Zhirov,CB,"CB, CAM, CDM, CF, CM",1
Pichu Atienza,CB,"CB, CDM, CAM, CF, CM",1
A. Werner,GK,"GK, CB, CAM, CDM, CF",1
J. Maghoma,LM,"LM, LW, RM, ST, RW",1
G. Sara,GK,"GK, CB, CAM, CDM, CF",1
M. Riemann,GK,"GK, CB, CAM, CDM, CF",1
D. Dumić,CB,"CB, CAM, CDM, CF, CM",1
G. Sauro,CB,"CB, CAM, CDM, CF, CM",1
P. Coutts,CM,"CM, CDM, LB, RB, CB",1
M. Schäffler,ST,"ST, CB, CAM, CF, CM",1
N. Taylor,LB,"RB, LB, CDM, CM, CB",0
K. Danso,CB,"CB, CAM, CDM, CF, CM",1
S. Fletcher,ST,"ST, CB, CAM, CF, CM",1
L. Mchedlidze,ST,"ST, CB, CAM, CF, CM",1
Igor Rossi,CB,"CB, CDM, CAM, CF, CM",1
L. Thomas,GK,"GK, CB, CAM, CDM, CF",1
A. Baby,LM,"LM, CM, RB, LB, CB",1
C. Valencia,ST,"ST, RM, CAM, LM, LW",0
Fábio Cardoso,CB,"CB, CAM, CDM, CF, CM",1
P. Bartolomei,CM,"CM, LB, CAM, RB, CDM",1
L. Villalba,LB,"LB, RB, CM, CDM, CB",1
M. Franke,CB,"CB, CAM, CDM, CF, CM",1
C. Nyman,ST,"ST, CB, CAM, CF, CM",1
E. Imorou,LB,"LB, RB, CB, CDM, CM",0
M. Ardemagni,ST,"ST, CB, CAM, CF, CM",1
M. Matvienko,LB,"RB, CB, LB, CM, CDM",0
I. Plastun,CB,"CB, CAM, CDM, CF, CM",1
T. Kister,CB,"CB, CAM, CDM, CF, CM",1
K. N'Doram,CDM,"CDM, CB, CM, LB, CAM",1
D. Fisher,RB,"RB, LB, CB, CM, CDM",1
G. Gómez,CDM,"CDM, CM, RB, LB, CB",1
Javi Varas,GK,"GK, CB, CAM, CDM, CF",1
Nilson Padilho,CAM,"ST, CAM, LM, CM, RM",0
F. Mercado,ST,"ST, RM, CAM, CF, CM",1
J. Onguéné,CB,"CB, CAM, CDM, CF, CM",1
R. Cardozo,LM,"LM, CM, RB, RM, LB",1
B. Röcker,CB,"CB, CAM, CDM, CF, CM",1
C. Bovo,CB,"CB, CDM, RB, CF, CM",1
E. Godoy,CB,"CB, RB, LB, CDM, CF",1
F. Aristeguieta,ST,"ST, RM, CB, CF, CM",1
K. Kanatsızkuş,ST,"ST, CB, CAM, CF, CM",1
P. Álvarez,LB,"CB, RB, LB, CDM, CM",0
J. García,GK,"GK, CB, CAM, CDM, CF",1
B. Urribarri,LB,"LB, RB, LM, CM, CDM",0
K. Ehizibue,RB,"RB, CM, CDM, LB, RM",1
S. Delev,RM,"RM, ST, LW, LM, CAM",1
S. Kaya,CB,"CB, RB, LB, CDM, CF",1
J. Dahlin,GK,"GK, CB, CAM, CDM, CF",1
V. Huerta,CB,"CB, CAM, CDM, CF, CM",1
R. Alioui,ST,"ST, CAM, CB, CF, CM",1
V. Demarconnay,GK,"GK, CB, CAM, CDM, CF",1
J. San Román,RB,"RB, LB, CB, CDM, CAM",1
C. Mandanne,ST,"ST, CAM, RM, CM, LM",1
E. Arango,RM,"RM, ST, LM, RW, LW",1
H. Menosse,CB,"CB, CDM, RB, CF, CM",1
J. Lewis,LB,"LB, RB, CM, CDM, CB",1
C. Coosemans,GK,"GK, CB, CAM, CDM, CF",1
M. Bani,CB,"CB, CAM, CDM, CF, CM",1
Derley,ST,"ST, LM, CAM, CF, CM",1
D. Sow,CM,"CM, RB, CAM, LM, RM",1
Philipe Sampaio,CB,"CB, CAM, CDM, CF, CM",1
R. Coly,LB,"LB, RB, CB, CM, CDM",1
Xisco,ST,"ST, CB, CAM, CF, CM",1
S. Luperto,CB,"CB, RB, LB, CM, CDM",1
G. Kerk,ST,"ST, RM, LW, LM, RW",1
G. Ţucudean,ST,"ST, CM, CB, CAM, CDM",1
Luan Sendeiro,CDM,"CDM, CB, LB, RB, CM",0
E. Triverio,ST,"ST, CB, CAM, CF, CM",1
Y. Touzghar,ST,"ST, LM, LW, CF, CAM",1
A. Farrell,RB,"RB, LB, CM, LM, CB",0
O. Shevchenko,GK,"GK, CB, CAM, CDM, CF",1
F. Ben Mustapha,GK,"GK, CB, CAM, CDM, CF",1
I. Saadi,ST,"ST, CB, CAM, CF, CM",1
P. Huntington,CB,"CB, CAM, CDM, CF, CM",1
B. Nieuwkoop,RB,"LB, RB, CB, CDM, CM",0
L. Cáceda,CB,"CB, CAM, CDM, CF, CM",1
António Filipe,GK,"GK, CB, CAM, CDM, CF",1
M. Dos Santos,CB,"CB, CDM, LB, ST, CAM",1
R. Rúnarsson,GK,"GK, CB, CAM, CDM, CF",1
N. Leguizamón,ST,"ST, CB, CAM, CF, CM",1
K. Dowell,CAM,"CAM, CM, ST, LM, LW",1
R. Kurzawa,LM,"LM, CM, CB, CDM, LB",1
J. Madueña,RB,"RB, LB, CDM, CM, RM",1
A. Mabil,RW,"RW, LM, LW, ST, CAM",1
Oriol Riera,ST,"ST, RM, CAM, CM, CF",1
J. Gillet,GK,"GK, CB, CAM, CDM, CF",1
A. Espino,LB,"LB, RB, CDM, LW, CB",1
J. Campuzano,CDM,"CDM, CM, RB, CB, LB",1
F. Holland,LB,"LB, RB, CB, CDM, CF",1
Germán,CB,"CB, CM, CDM, RB, CAM",1
T. Hiariej,CDM,"CDM, CM, LB, RB, CB",1
R. Nissen Kristensen,RB,"RB, LB, CM, CDM, CB",0
O. González,CB,"CB, RB, CDM, LB, CM",1
D. Cvetinović,CB,"CB, CDM, RB, CF, CM",1
T. Bunbury,ST,"ST, RM, CAM, LW, LM",1
C. Ramos,CB,"CB, CAM, CDM, CF, CM",1
M. Robak,ST,"ST, CB, CAM, CF, CM",1
N. Leali,GK,"GK, CB, CAM, CDM, CF",1
K. Andrić,ST,"ST, CB, CAM, CF, CM",1
Jorge Sáenz,CB,"CB, CDM, CM, RB, LB",1
F. Hasani,CAM,"CAM, ST, LM, RM, LW",1
Jailson Oliva,RB,"RB, LB, CDM, CM, CB",1
Vinicius Trieiro,RB,"RB, LB, LW, CDM, CF",1
B. Cufré,LB,"LB, CM, RB, LM, RM",1
B. Guillaume,ST,"ST, CB, CAM, CF, CM",1
P. Arajuuri,CB,"CB, CAM, CDM, CF, CM",1
S. Hogan,ST,"ST, LM, RM, LW, RW",1
L. Desábato,CDM,"CDM, LB, CM, RB, CB",1
M. Olivera,LB,"LB, RB, CB, CM, CDM",1
R. Raldes,CB,"CB, CDM, CM, RB, CAM",1
G. Larsonneur,GK,"GK, CB, CAM, CDM, CF",1
Lee Jae Sung,CB,"CB, CAM, CDM, CF, CM",1
E. Saveljich,CB,"CB, CAM, CDM, CF, CM",1
N. Carreño,LB,"LB, RB, CB, CDM, CM",1
F. De Paul,GK,"GK, CB, CAM, CDM, CF",1
G. Gianniotas,LM,"LM, RM, ST, CAM, RW",1
J. Villafaña,LB,"LB, RB, CM, LM, CB",0
T. Bruns,CM,"CM, CDM, LW, LB, CAM",1
F. Haugen,CM,"CM, LM, CAM, RM, RB",0
A. Weber,CB,"CB, CDM, CAM, CF, CM",1
C. Forsyth,LB,"LB, RB, CB, CDM, CM",1
G. Gardner,CM,"CM, CB, LB, RB, CDM",0
J. Gol,CDM,"CDM, CM, RB, LB, CB",1
N. Gorosito,CB,"CB, LB, CDM, CM, RB",1
Alam Basteirinho,CAM,"CAM, CM, LM, RM, RW",1
H. Henao,CDM,"CDM, CM, LB, RB, CB",1
B. Garnica,RM,"RM, LM, CAM, LW, RW",1
M. Romero,ST,"ST, CB, CAM, CF, CM",1
B. Myhill,GK,"GK, CB, CAM, CDM, CF",1
Saúl,LB,"LB, RB, CB, LM, CAM",1
M. Mancienne,CB,"CB, LB, RB, CDM, CF",1
Lionn,RB,"RB, LB, CM, CDM, CB",0
Jefferson Santos,CDM,"CDM, CB, CM, CAM, CF",1
F. Deli,CM,"CM, CAM, LB, ST, RB",1
C. Dunkley,CB,"CB, CM, RB, ST, CF",1
C. Vilches,CB,"CB, CDM, CAM, CF, CM",1
M. Eriksson,RM,"RM, CM, ST, CAM, LM",1
J. Worrall,CB,"CB, CAM, CDM, CF, CM",1
Rubén,GK,"GK, CB, CAM, CDM, CF",1
Rodrigo Pinho,ST,"ST, CB, CAM, CF, CM",1
R. Leeuwin,CB,"CB, CDM, CM, RB, CAM",1
L. Thy,ST,"ST, RM, CM, LW, LB",1
K. Rosenberry,RB,"RB, LB, CDM, CM, CB",0
R. Aarons,LM,"LM, RM, CAM, LW, ST",1
Alfonso Herrero,GK,"GK, CB, CAM, CDM, CF",1
G. Alcoba,CB,"CB, LB, CAM, CDM, CF",1
J. Pearce,CB,"CB, CDM, CAM, CF, CM",1
B. Cortés,GK,"GK, CB, CAM, CDM, CF",1
Juan Muñoz,ST,"ST, CB, CAM, CF, CM",1
J. Angulo,RB,"LB, RB, CM, CB, CDM",0
G. Pegolo,GK,"GK, CB, CAM, CDM, CF",1
Miguel Luís,CM,"CM, LB, RB, CDM, RM",0
J. Busk,GK,"GK, CB, CAM, CDM, CF",1
C. Oliva,CM,"CM, CDM, RB, LB, CB",1
C. Auzqui,RM,"RM, ST, LM, RB, CAM",1
J. Souttar,CB,"CB, CDM, CM, LB, RB",1
Bruno Nascimento,CB,"CB, CAM, CDM, CF, CM",1
D. Hoesen,ST,"ST, LW, RW, LM, CM",1
T. Necid,ST,"ST, CB, CAM, CF, CM",1
M. Bero,CAM,"CAM, CM, RM, LM, ST",1
Allan Ardaújo,CAM,"CAM, CM, ST, LM, RW",1
B. Schenkeveld,CB,"CB, LB, CDM, RB, CM",1
Aridane,CB,"CB, RB, CDM, CF, CM",1
M. Volta,CB,"CB, CM, CAM, CDM, CF",1
N. Fernández,GK,"GK, CB, CAM, CDM, CF",1
J. Makengo,CM,"CM, LB, RB, CB, CDM",1
D. Keet,GK,"GK, CB, CAM, CDM, CF",1
David Fernández,CB,"CB, CDM, LB, RB, CAM",1
F. González,ST,"ST, LM, CAM, RM, RW",1
M. Yattara,ST,"ST, CB, CAM, CF, CM",1
A. Dona Ndoh,ST,"ST, CB, CAM, CF, CM",1
L. Trałka,CDM,"CDM, CB, CM, RB, LB",1
P. Pentke,GK,"GK, CB, CAM, CDM, CF",1
A. Lukimya,CB,"CB, CDM, RB, CF, CM",1
F. Platte,ST,"ST, CB, CAM, CF, CM",1
D. González,GK,"GK, CB, CAM, CDM, CF",1
C. Ramirez,ST,"ST, CB, CAM, CF, CM",1
M. Lehmann,CDM,"CM, CDM, CB, RB, LB",0
J. Bokila,ST,"ST, CB, CAM, CF, CM",1
Carlos Gutiérrez,CB,"CB, CDM, CAM, CF, CM",1
S. Vergini,CB,"CB, CDM, LB, RB, CAM",1
E. Falkenburg,ST,"ST, CM, LM, LW, RM",1
S. Popov,RB,"RB, LB, CM, CB, CDM",1
E. Blanco,CDM,"CDM, CB, RB, CM, LB",1
A. Malarz,GK,"GK, RM, CB, LM, ST",1
Jairo Farnias,GK,"GK, CB, CAM, CDM, CF",1
Lourival Dinisco,CB,"CB, CDM, CAM, CF, CM",1
M. Kelemen,GK,"GK, CB, CAM, CDM, CF",1
João Lucas,LB,"LB, RB, CB, LWB, CDM",1
V. Angulo,ST,"ST, CAM, RM, LW, CF",1
B. Leroy,GK,"GK, CB, CAM, CDM, CF",1
F. Ogier,CB,"CB, CDM, CAM, CF, CM",1
U. Hünemeier,CB,"CB, CDM, CAM, CF, CM",1
D. Geiger,CM,"CM, CDM, RM, CAM, LB",1
Lombán,CB,"CB, CDM, LB, CM, RB",1
R. Riou,GK,"GK, CB, CAM, CDM, CF",1
J. Valenzuela,CB,"CB, CDM, RB, RM, CM",1
F. Torijano,CB,"CB, CAM, CDM, CF, CM",1
F. Bandinelli,CM,"CM, LB, CAM, CDM, RB",1
D. Ousted,GK,"GK, CB, CAM, CDM, CF",1
D. Solanke,ST,"ST, CB, CAM, CF, CM",1
K. Çörekçi,RB,"RB, LB, CM, CDM, LWB",1
P. Šteinbors,GK,"GK, CB, CAM, CDM, CF",1
Jony Reitosa,RB,"RB, LB, CB, CM, CDM",1
B. Róchez,ST,"ST, CB, CAM, CF, CM",1
R. Zentner,GK,"GK, CB, CAM, CDM, CF",1
R. James,RB,"RB, LB, CM, CB, CDM",1
R. Beerens,RW,"RW, CAM, LM, RM, LW",0
Eduardo Fonseira,GK,"GK, CB, CAM, CDM, CF",1
Cristian López,ST,"ST, CB, CAM, CF, CM",1
M. Männel,GK,"GK, CB, CAM, CDM, CF",1
G. Hanley,CB,"CB, CAM, CDM, CF, CM",1
J. Lynch,CB,"CB, CM, CDM, RB, CAM",1
S. Colombi,GK,"GK, CB, CAM, CDM, CF",1
Marco Rocha,GK,"GK, ST, CAM, LWB, RM",1
Nathael Silbeira,GK,"GK, CB, CAM, CDM, CF",1
U. Đurđević,ST,"ST, CB, CAM, CF, CM",1
David Simón,RB,"RB, LB, RWB, CDM, CF",1
A. Federici,GK,"GK, CM, CAM, CDM, CB",1
A. Ghazal,CDM,"CB, CDM, LB, RB, CM",1
Felipe,CB,"CB, CDM, CM, CAM, CF",1
P. Terracciano,GK,"GK, CB, CAM, CDM, CF",1
L. Krajnc,CB,"CB, LB, CDM, CM, RB",1
T. Hemed,ST,"ST, CB, CAM, CF, CM",1
E. Conde,GK,"GK, CB, CAM, CDM, CF",1
L. Cavanda,RB,"RB, LB, CDM, CB, CF",1
M. Peybernès,CB,"CB, CAM, CDM, CF, CM",1
Deivid,CB,"CB, CDM, LB, CM, RB",1
K. Zohore,ST,"ST, CB, CAM, CF, CM",1
D. Lekić,ST,"ST, CAM, CB, CF, CM",1
Pombaxinho,CB,"CB, LB, RB, CDM, CF",1
J. Isijara,RM,"RM, ST, LW, LM, CAM",1
J. Callsen-Bracker,CB,"CB, CDM, CAM, CF, CM",1
R. Faty,CDM,"CDM, CB, CM, LB, RB",1
L. Mühl,CB,"CB, CDM, CM, CAM, CF",1
Mano,RB,"RB, LB, CB, CDM, CAM",1
E. Calaió,ST,"ST, LM, CAM, CF, CM",1
A. Wilkinson,CB,"CB, CDM, RB, CF, CM",1
K. Sugimoto,ST,"ST, LM, CAM, CF, CM",1
A. Ríos,ST,"ST, RM, CAM, LW, CF",1
M. Jevtovic,CDM,"CDM, CB, RB, LB, CAM",1
David Raya,GK,"GK, CB, CAM, CDM, CF",1
S. Doukara,ST,"ST, LM, RM, RW, CAM",1
Ivo Pinto,RB,"RB, LB, CB, CDM, CF",1
Tomeu Nadal,GK,"GK, CB, CAM, CDM, CF",1
M. Samudio,LB,"LB, RB, CDM, CM, CB",1
N. Rimando,GK,"GK, CB, CAM, CDM, CF",1
R. Köse,GK,"GK, CB, CAM, CDM, CF",1
L. Stulac,CDM,"CDM, CM, LB, RB, RM",1
I. Provedel,GK,"GK, CB, CAM, CDM, CF",1
A. Tinnerholm,RB,"RB, CM, LB, LM, CDM",1
Ângelo Neto,CM,"CM, CDM, CAM, CB, LB",1
C. Quintana,CB,"CB, CAM, CDM, CF, CM",1
J. Dezi,CM,"CM, CDM, LB, RB, LM",1
N. Foor,CM,"CM, CAM, RM, LM, LWB",1
Adriano,ST,"ST, RM, CAM, LW, LM",1
J. Beauguel,ST,"ST, CAM, CB, CF, CM",1
L. Antei,CB,"CB, CAM, CDM, CF, CM",1
Kang Hyeon Mu,GK,"GK, CB, CAM, CDM, CF",1
B. Acosta,CB,"CB, CDM, CAM, CF, CM",1
J. Laso,CB,"CB, CAM, CDM, CF, CM",1
B. Kuscevic,CB,"CB, CDM, LB, CAM, CF",1
Rúben Ferreira,LB,"LB, RB, CM, CDM, CB",1
A. King,CM,"CM, CDM, LB, CB, RB",1
S. Lammers,ST,"ST, CB, CAM, CF, CM",1
K. Peterson,LW,"ST, LM, CAM, RM, LW",1
D. Marshall,GK,"GK, CB, CAM, CDM, CF",1
H. Veerman,ST,"ST, CB, CAM, CF, CM",1
Rui Silva,GK,"GK, CB, CAM, CDM, CF",1
M. Grüttner,ST,"ST, RM, CAM, CF, CM",1
E. Şen,CDM,"CDM, CM, CB, LB, RB",1
F. Boeckx,GK,"GK, CB, CAM, CDM, CF",1
D. Maroh,CB,"CB, CAM, CDM, CF, CM",1
Nauzet,GK,"GK, CB, CAM, CDM, CF",1
Botía,CB,"CB, CDM, LB, RB, CAM",1
David Costas,CB,"CB, CDM, LB, RB, CM",1
H. Wahl,CB,"CB, CAM, CDM, CF, CM",1
R. López,RB,"RB, LB, CM, LM, ST",1
J. Vigón,CM,"CM, CDM, CB, LB, RB",1
Luisinho Conradi,LB,"LB, RB, CM, LM, RM",0
Dorado,CB,"CB, CDM, LB, CAM, CF",1
Alex Alegría,ST,"ST, RW, CAM, CF, CM",1
C. Ramírez,CB,"CB, CDM, LB, RB, CAM",1
D. Lezcano,ST,"ST, LM, RM, CAM, CF",1
D. Gastaldello,CB,"CB, CAM, CDM, CF, CM",1
M. Beevers,CB,"CB, LB, CAM, CDM, CF",1
T. Kessler,GK,"GK, CB, CAM, CDM, CF",1
Manu Morlanes,CM,"CM, CDM, RM, LB, CAM",1
Wagner Orsinho,LB,"LB, RB, CM, RWB, CB",1
A. Domínguez,GK,"GK, CB, CAM, CDM, CF",1
J. McLaughlin,GK,"GK, CB, CAM, CDM, CF",1
L. Sadiku,CDM,"CDM, CM, CB, RB, LB",1
M. Pugh,LM,"LM, ST, CAM, RM, LW",1
E. Zelazny,GK,"GK, CB, CAM, CDM, CF",1
M. Pazdan,CB,"CB, CDM, RB, CF, CM",1
A. Turan,CB,"CB, CDM, CAM, CF, CM",1
D. Mosquera,LB,"RB, LB, CB, CM, CDM",0
F. Jozefzoon,RW,"RW, LM, RM, CAM, LW",1
J. Tagueu,ST,"ST, RM, CAM, CF, CM",1
André Milazisco,GK,"GK, CB, CAM, CDM, CF",1
M. Tosetti,RM,"CAM, LM, RM, CM, RW",0
S. Ben Youssef,CB,"CB, CDM, CAM, CF, CM",1
C. Akpom,ST,"ST, LM, CAM, CF, CM",1
P. Frankowski,RM,"RM, LM, ST, CM, CAM",0
D. Contento,LB,"RB, LB, CB, CM, CDM",0
G. Anestis,GK,"GK, CB, CAM, CDM, CF",1
P. Onuachu,ST,"ST, CM, LM, CAM, RW",1
K. Kronholm,GK,"GK, CB, CAM, CDM, CF",1
M. Domizzi,CB,"CB, CAM, CDM, CF, CM",1
Túlio Sandoiro,ST,"ST, RM, CAM, CF, CM",1
N. Gyömbér,CB,"CB, RB, CAM, CF, CM",1
M. Gobbi,LB,"LB, RB, CB, CDM, CM",1
M. Diskerud,CM,"CM, CDM, CAM, RM, ST",1
S. Chukwueze,RM,"LM, RM, LW, ST, CAM",0
T. Elphick,CB,"CB, CAM, CDM, CF, CM",1
Alejandro Rodríguez,ST,"ST, CB, CAM, CF, CM",1
O. Jiménez,GK,"GK, CB, CAM, CDM, CF",1
W. Dutoit,GK,"GK, CB, CAM, CDM, CF",1
J. Colback,CDM,"CDM, CM, LB, CB, RB",0
Álex Martínez,LB,"LB, RB, CM, CDM, RM",0
M. Gazzola,RB,"RB, LB, CB, CDM, CAM",1
O. Omoijuanfo,ST,"ST, RM, CAM, RW, RB",1
S. Jung,RB,"RB, LB, CM, CDM, CB",1
Jota,CM,"CM, LB, RB, CDM, CAM",1
Vinícius,ST,"ST, CB, CAM, CF, CM",1
L. Clarke,ST,"ST, CB, CAM, CF, CM",1
O. Petrák,CDM,"CDM, CB, CM, LB, RB",1
Rafael Lopes,ST,"ST, CB, CAM, CF, CM",1
F. Jensen,CAM,"CAM, ST, CM, LM, RM",1
M. Kosanović,CB,"CB, RB, CDM, LB, CM",1
I. Lichnovsky,CB,"CB, CDM, LB, CAM, CF",1
L. Ramos,ST,"ST, RB, RW, LM, CAM",1
S. Burchert,GK,"GK, CB, CAM, CDM, CF",1
O. Alanís,CB,"CB, CDM, CM, RB, CAM",1
B. Angulo,ST,"ST, RW, CAM, CF, CM",1
